,Zeolite,Meta-learning T_max,Meta-learning Delta_n,Langmuir T_max,Langmuir Delta_n,Sips T_max,Sips Delta_n,Quadratic T_max,Quadratic Delta_n,DSL T_max,DSL Delta_n
24,4825,47.25000000000003,21.848432366271595,45.80000000000001,31.457737234405588,45.0,32.09054312698209,48.40000000000005,25.618372269826025,45.0,24.03813300124967
25,4169,95.06250000000072,14.529115871644368,92.00000000000067,18.75510172995614,86.00000000000058,16.684181399082863,101.30000000000081,14.268517633028821,101.0000000000008,14.88524081679925
26,4605,45.175,23.099675397919626,45.0,33.16332182876432,45.0,32.846892690580724,45.0,28.492192602079747,45.0,25.74696288101041
27,11851,51.3000000000001,20.764929588647348,49.80000000000007,29.237073269164732,45.80000000000001,30.020721700958322,53.700000000000124,23.3995631473038,47.20000000000003,29.638351932346346
28,574,46.25000000000002,22.44920074338384,45.0,32.59708724014127,45.0,32.80470786086881,45.90000000000001,26.773730436884534,45.0,23.315745687406896
29,5897,80.90000000000052,17.19984053047326,78.90000000000049,21.755234477140156,73.70000000000041,20.27005073395093,88.80000000000062,16.877971077248056,89.50000000000063,16.612137599991158
30,8117,52.737500000000104,20.525294083726724,52.0000000000001,28.505732439964117,48.50000000000005,28.875029903025016,56.30000000000016,22.762817788442984,45.0,22.898183202665685
31,1289,47.06250000000003,21.778253626367803,45.1,31.559815851840142,45.0,32.129166936796544,47.80000000000004,25.610802860865064,45.0,31.63117918960416
32,3388,128.37500000000117,8.946896467731037,115.000000000001,13.045839730522529,104.80000000000085,10.111843840278059,78.20000000000047,9.496497745054462,132.50000000000125,9.943857864137504
33,8879,75.85000000000046,16.95271671233181,73.80000000000041,21.776674171725915,68.00000000000033,20.478785216756787,83.20000000000054,16.853454171995995,85.60000000000058,15.315008987292233
34,1190,45.425,22.62043123621233,45.0,32.741858816069005,45.0,32.449500417631505,45.0,27.892461156767247,45.0,25.540639257353185
35,10065,45.48750000000001,22.802341876537167,45.0,33.07842192642057,45.0,32.87275061599576,45.0,27.984357213896153,45.0,24.884808874052403
36,5544,57.86250000000018,20.1141728416876,56.700000000000166,27.114148177736038,53.20000000000012,27.0078995128561,62.10000000000024,21.457740362083292,55.00000000000014,27.352768824253538
37,4919,58.46250000000018,20.16626790168705,57.00000000000017,27.233967040652995,53.40000000000012,27.094108401993708,62.50000000000025,21.53142777628061,45.0,22.188357686918614
38,4558,45.96250000000001,22.590176645668482,45.0,32.89943251602018,45.0,32.942250585478185,45.0,27.374177312773107,45.0,32.231692647856114
39,1791,53.88750000000013,20.212254397789515,54.400000000000134,27.679962977702587,51.30000000000009,27.741933211877356,59.1000000000002,22.017416690147485,45.0,21.705497121733067
40,2394,63.36250000000026,18.55959517270296,62.60000000000025,24.11829420014046,59.0000000000002,23.58906365647277,68.80000000000034,19.057667249112985,45.0,19.525786733549474
41,12742,63.175000000000274,18.71219051552314,62.200000000000244,24.234679132356153,56.90000000000017,23.75056444021145,70.20000000000036,18.747409961112552,78.30000000000047,14.651232516583818
42,13481,63.625000000000256,19.270243227169143,62.70000000000025,24.907844043748813,57.10000000000017,24.361624781953076,71.20000000000037,19.171271189495762,80.50000000000051,14.734600259607035
43,1140,46.11250000000002,22.33892855970896,45.0,32.60018477432096,45.0,32.598222112577794,45.0,27.16773924819791,45.0,24.924950933378575
44,11247,45.0,23.317652896946306,45.0,32.82743391982877,45.0,32.36041960708463,45.0,28.772660589140294,45.0,30.68964323989713
45,4811,66.16250000000029,19.08410551944148,66.50000000000031,24.261314574884484,62.70000000000025,23.457936740892368,73.80000000000041,19.03284825925033,65.20000000000029,24.46234666125651
46,3226,67.22500000000029,19.146304670072816,67.50000000000031,24.22682212188616,63.20000000000026,23.324920925103047,75.70000000000044,18.86155249604871,79.10000000000048,17.20573668529744
47,4272,47.07500000000003,21.9071688006012,45.90000000000001,31.422440687739027,45.0,32.00392470352018,48.50000000000005,25.62959609565197,45.0,31.688474035185216
48,6182,45.87500000000002,22.577011704327248,45.0,32.886092519682286,45.0,32.86866126052701,45.0,27.483233785551427,45.0,24.8391717433151
49,2309,58.3000000000002,20.054174220873364,57.10000000000017,26.98862749801753,53.800000000000125,26.833921240099766,62.70000000000025,21.33952281572147,45.0,21.121823644560216
50,3396,61.42500000000024,19.18580721452237,59.500000000000206,25.344585623001066,55.900000000000155,25.032170361335055,65.40000000000029,20.00145052327039,45.0,20.101618146818517
51,6324,47.47500000000004,21.750724156284825,46.40000000000002,31.204778448185564,45.0,31.890363073271153,49.00000000000006,25.39602604197145,45.0,23.347287511747716
52,5906,67.47500000000032,18.84109939561384,68.20000000000033,23.685348851188895,63.80000000000027,22.773626165275303,76.40000000000045,18.46390418040597,79.60000000000049,17.017494871943747
53,2935,106.22500000000088,12.245246890881699,99.60000000000078,16.433059377807453,93.20000000000068,14.211472138277196,111.50000000000094,12.229153361524274,109.60000000000092,13.169594134260485
54,872,52.9500000000001,20.29876601982625,52.50000000000011,28.054459994113127,48.200000000000045,28.541321401206815,57.20000000000017,22.28130366495983,45.0,23.07668814651334
55,12986,61.212500000000226,19.559177157599613,58.800000000000196,25.990489485252894,54.400000000000134,25.760182246501415,65.50000000000028,20.29074289957186,45.0,22.15876708022916
56,12889,54.025000000000134,19.884773810300864,54.90000000000014,27.042041989559706,51.50000000000009,27.1111531997667,59.60000000000021,21.584826225343583,53.100000000000115,27.317950580013697
57,13258,45.1,23.017254646555504,45.0,32.77844176284635,45.0,32.2204030512985,45.0,28.58913168899381,45.0,25.987403249662755
58,3117,74.75000000000041,17.07639091702491,72.20000000000039,22.141816257391287,67.80000000000032,21.065233207330248,80.6000000000005,17.338894105091583,81.70000000000053,16.940552505417585
59,12939,54.31250000000014,19.208394232500623,55.200000000000145,26.05236935868343,50.60000000000008,26.243868830577682,60.800000000000225,20.4963408323703,53.000000000000114,26.382952937473913
60,9474,68.40000000000032,18.07291945537018,69.80000000000035,22.52644688005537,65.20000000000029,21.550931561158855,77.70000000000047,17.635252980146635,80.0000000000005,16.564009079293314
61,5530,79.18750000000048,17.51391016911577,76.70000000000044,22.411978510819644,72.10000000000039,21.038005404880085,85.20000000000057,17.46034405428843,85.20000000000057,17.600628592557474
62,9621,45.1625,22.810444227429734,45.0,32.69756255142057,45.0,32.37507948867643,45.0,28.159896230619786,45.0,31.06751952163541
63,1214,58.32500000000019,19.802059051729238,57.00000000000017,26.624998305911785,52.80000000000011,26.564025047084172,63.000000000000256,20.89771607938382,45.0,21.968654012602208
64,2425,78.82500000000047,16.762930787089864,76.90000000000046,21.348933183279712,72.30000000000038,20.07217574411508,85.60000000000058,16.679329742297117,85.50000000000057,16.829695525881284
65,7093,45.0,23.498286773389214,45.0,32.76930937759244,45.0,32.35730490676725,45.0,28.84974608413541,45.0,30.462451314848302
66,6108,62.01250000000024,19.47443146271605,61.20000000000023,25.46202456945416,58.20000000000019,25.02862624771941,67.30000000000032,20.122802719443914,70.60000000000036,18.45817019306331
67,7599,63.72500000000028,19.851732964870656,65.3000000000003,25.277970145290162,62.300000000000246,24.595058014784364,71.30000000000038,20.30008580803471,72.40000000000039,20.05382098870153
68,10923,54.20000000000013,20.309730203315123,55.200000000000145,27.658677342081866,52.0000000000001,27.663256548850836,59.80000000000021,22.094328589205375,45.0,20.98111281387174
69,3261,75.13750000000044,17.61012745194679,72.9000000000004,22.737204793010726,68.10000000000034,21.532863551773172,80.90000000000052,17.82245052283804,71.70000000000039,22.941183866268428
70,8988,101.2750000000008,11.584271349976722,97.70000000000076,15.15146678005368,89.90000000000063,13.034280969476809,111.40000000000094,11.24983352430269,111.20000000000094,11.300890850045912
