,Zeolite,"Heat of adsorption (92.4 K, 54.6 bar)","Heat of adsorption error (92.4 K, 54.6 bar)"
139,NON-0,5.568363,0.14087972
140,NPO-0,6.014625,0.15610288
141,NPT-0,4.4338984,0.33808535
142,NSI-0,7.017139,0.17782022
143,OBW-0,4.2783,0.29048172
144,OFF-0,5.062066,0.14305133
145,OKO-0,4.899133,0.21155697
146,OSI-0,5.6669927,0.1244852
147,OSO-0,4.84326,0.20179601
148,OWE-0,5.5128603,0.17012475
149,PAU-0,5.543903,0.13927743
150,PCR-0,5.4858947,0.11167921
151,PHI-0,5.7414923,0.1288214
152,PON-0,5.6819687,0.16613202
153,POS-0,4.6582565,0.1306649
154,PSI-0,5.2966805,0.21673657
155,PUN-0,5.4413323,0.1296211
156,RHO-0,4.950637,0.14666009
157,RRO-0,6.210728,0.13977125
158,RSN-0,6.421076,0.22414675
159,RTE-0,5.6818423,0.19584256
160,RTH-0,5.54348,0.16863178
161,RWR-0,9.671908,2.3750696
162,RWY-0,3.240002,0.1450459
163,SAF-0,5.0053577,0.15544035
164,SAO-0,4.2149844,0.20114283
165,SAS-0,4.890441,0.14578454
166,SAT-0,4.7150397,0.28937072
167,SAV-0,4.9783287,0.094075106
168,SBE-0,4.086412,0.21616706
169,SBN-0,8.262763,1.1589438
170,SBS-0,3.9817085,0.2273125
171,SBT-0,3.9533143,0.23034182
172,SEW-0,5.010434,0.13562348
173,SFE-0,4.939547,0.14582676
174,SFF-0,5.2959876,0.109355845
175,SFG-0,5.048866,0.115893565
176,SFH-0,4.4601607,0.33438918
177,SFN-0,4.5214705,0.29562035
178,SFO-0,4.861432,0.12569341
179,SFS-0,5.0336375,0.101507805
180,SFV-0,5.267663,0.11458737
181,SGT-0,5.4387236,0.11531591
182,SIV-0,5.676616,0.121585675
183,SOD-0,5.4640427,0.20498396
184,SOF-0,5.628798,0.121247135
185,SOS-0,5.3028784,0.20104773
186,SSF-0,4.7255793,0.14027983
187,SSY-0,5.1100473,0.23213115
188,STF-0,5.302886,0.09118238
189,STI-0,5.3832064,0.21845853
190,STO-0,5.1074424,0.13784426
191,STT-0,5.32087,0.086347006
192,STW-0,5.615308,0.09239886
193,SVV-0,5.4511995,0.09077535
194,SZR-0,5.42323,0.1916433
195,TER-0,5.204882,0.18445927
196,THO-0,5.77059,0.14418322
197,TOL-0,5.86773,0.2055472
198,TON-0,5.4031415,0.2983909
199,TSC-0,3.6552496,0.16212545
200,TUN-0,5.267637,0.13255079
201,UEI-0,5.4367137,0.48795205
202,UFI-0,4.9439273,0.19998866
203,UOS-0,5.739515,0.20084928
204,UOV-0,4.759659,0.11437261
205,UOZ-0,5.8912454,0.25099677
206,USI-0,4.91059,0.1613119
207,UTL-0,4.3806415,0.12855284
208,UWY-0,4.946473,0.11539807
209,VET-0,5.2855334,0.22149988
210,VFI-0,3.5444427,0.13441397
211,VNI-0,6.5279903,0.20714884
212,VSV-0,5.9268713,0.17691974
213,WEI-0,6.075208,0.17768513
214,YUG-0,5.723942,0.1486027
215,ZON-0,5.310873,0.22924776
