,material,pressure,temperature,delta_e,delta_e_err,delta_h,delta_h_err,delta_pv,delta_pv_err,delta_gt,delta_gt_err,q_st,q_st_err
52,DOH-0,1.0,77.0,-6.666291627260749,0.004060631775935075,-7.306833369729146,0.004026861364440304,-0.6405417424683957,3.3770411494882246e-05,-2.369124746939311,0.001838895844109345,-5.541182719511056,0.06001302626290661
53,DON-0,1.0,77.0,-3.647036138818771,0.010365885441701472,-4.28747765734615,0.01061464730881756,-0.6404415185273789,0.0002487618671160319,-1.8305921081111027,0.01807501825089619,-4.396261912927838,0.10637770779420741
54,EAB-0,1.0,77.0,-5.350105502689175,0.006477349982566327,-5.990569889715006,0.006513888826841896,-0.6404643870258316,3.6538844275346705e-05,-2.278454691308302,0.0046531151172624075,-5.878475226593501,0.05979768856766565
55,EDI-0,1.0,77.0,-5.839498683456682,0.0005737819851407977,-6.479591336734975,0.0009120370299537939,-0.6400926532782929,0.00033825504481294066,-2.20654491069049,0.0009095480090959285,-6.392182594002608,0.04268732319849189
56,EEI-0,1.0,77.0,-5.391372826985802,0.005399861699935116,-6.031141346109606,0.0049289462579631405,-0.6397685191238036,0.00047091544197214175,-2.09376171148059,0.002162146340416893,-5.9114407822170705,0.2084409550624602
57,EMT-0,1.0,77.0,-3.5388872695623355,0.0012501482653028972,-4.1796051643036405,0.0007384422392737733,-0.640717894741305,0.0005117060260289574,-1.721596275869138,0.004388445921601591,-3.9842305332314414,0.05206674742895179
58,EON-0,1.0,77.0,-5.64154147522064,0.007347867296167099,-6.282526966859393,0.007100032157507652,-0.6409854916387524,0.00024783513865944684,-2.131394223663242,0.010193920430293213,-5.546145384110883,0.1254788552192565
59,EPI-0,1.0,77.0,-6.507115352250208,0.0006609868021807408,-7.1481643295947,0.0009252214572059714,-0.6410489773444924,0.00026423465502511956,-2.354062108764455,0.000723450820648841,-7.052442383943012,0.2430975445569694
60,ERI-0,1.0,77.0,-4.826666776703728,0.0008185118168886341,-5.467117746084533,0.001156266650118809,-0.640450969380804,0.0003377548332303415,-2.1668563311952322,0.0012405276928728615,-5.4951156708208035,0.07912468783821147
61,ESV-0,1.0,77.0,-6.258939064687239,0.0018594286321720332,-6.898982935430413,0.0021530135033804854,-0.6400438707431737,0.0002935848712084521,-2.3724695119006896,0.003432122208680388,-7.223951533438381,0.023215033885861658
62,ETL-0,1.0,77.0,-6.827045791255076,0.005707724738558184,-7.468234141954325,0.005831787470683469,-0.6411883506992497,0.00012406273212522967,-2.295858413423187,0.00836130352919251,-6.45822385509727,0.06696224095055348
63,ETR-0,1.0,77.0,-5.186087206860659,0.00901672398018949,-5.8263112346401655,0.009271703890737282,-0.6402240277795074,0.00025497991054790337,-2.149854757075408,0.005441758187184176,-5.487779668244313,0.03553785714395774
64,EUO-0,1.0,77.0,-4.960179284072519,0.0026531008964427727,-5.601278476412833,0.002330792839203344,-0.6410991923403143,0.0003223080572390957,-2.1219686023728515,0.0015695936379929165,-5.748669375185322,0.05445206289867821
65,EWS-0,1.0,77.0,-4.960797864258884,0.003564390332502665,-5.600921932066743,0.0033696160099272454,-0.640124067807859,0.00019477432257514193,-2.191723824645268,0.004734179152787066,-5.694319393777674,0.04235065848826913
66,EZT-0,1.0,77.0,-4.820469566823905,0.007465314559399694,-5.4607756196882224,0.006984006587001712,-0.6403060528643177,0.00048130797239809286,-2.0892384900730945,0.00027450183331456657,-5.579374099849696,0.009305040395976238
