,Zeolite,"Heat of adsorption (92.4 K, 2.71 bar)","Heat of adsorption error (92.4 K, 2.71 bar)"
178,SFO-0,5.3333116,0.17115894
179,SFS-0,5.559477,0.19489287
180,SFV-0,5.995535,0.16686164
181,SGT-0,6.297847,0.16128156
182,SIV-0,6.887906,0.23887825
183,SOD-0,6.7078147,0.26359168
184,SOF-0,6.392341,0.20520808
185,SOS-0,5.67741,0.15404731
186,SSF-0,5.056658,0.20883393
187,SSY-0,5.464331,0.13781518
188,STF-0,5.9087515,0.1832426
189,STI-0,6.041552,0.115462124
190,STO-0,5.7407203,0.12289638
191,STT-0,5.9677234,0.16334869
192,STW-0,6.525939,0.15402673
193,SVV-0,6.5716515,0.11275597
194,SZR-0,6.023844,0.11608192
195,TER-0,5.9736276,0.2256415
196,THO-0,6.5234795,0.15766685
197,TOL-0,7.1843514,0.15710224
198,TON-0,6.482979,0.24421939
199,TSC-0,3.9952114,0.15733938
200,TUN-0,5.9030614,0.19177292
201,UEI-0,7.083666,0.22580725
202,UFI-0,5.3598213,0.18202046
203,UOS-0,6.7567387,0.1653411
204,UOV-0,5.2565107,0.17334546
205,UOZ-0,7.235487,0.20150825
206,USI-0,5.3041267,0.17951363
207,UTL-0,4.7159133,0.21751039
208,UWY-0,5.4986467,0.22226037
209,VET-0,5.7422476,0.1521199
210,VFI-0,3.9166331,0.16999133
211,VNI-0,7.2037425,0.21637198
212,VSV-0,6.8485074,0.19006635
213,WEI-0,6.5670786,0.23821518
214,YUG-0,6.8083987,0.2199964
215,ZON-0,6.5606484,0.29975128
