,Zeolite,"Heat of adsorption (92.4 K, 7.39 bar)","Heat of adsorption error (92.4 K, 7.39 bar)"
97,JBW-0,7.471343,0.16565202
98,JNT-0,8.437629,0.54788196
99,JOZ-0,6.390866,0.17558575
100,JRY-0,7.009274,0.19466175
101,JSR-0,4.6295514,0.14093159
102,JST-0,6.5157604,0.18666884
103,JSW-0,6.6134934,0.16403364
104,KFI-0,5.6693,0.097335294
105,LAU-0,6.047765,0.15424222
106,LEV-0,5.853148,0.09783
107,LIO-0,7.215229,0.2529197
108,LOS-0,6.6648426,0.13288471
109,LOV-0,7.609151,0.20650762
110,LTA-0,4.893608,0.061889846
111,LTF-0,5.827559,0.17192742
112,LTJ-0,7.378379,0.15837555
113,LTL-0,5.2340727,0.12740803
114,LTN-0,6.057916,0.17384878
115,MAR-0,6.7078714,0.16230659
116,MAZ-0,5.46092,0.16872129
117,MEI-0,4.8486934,0.072088994
118,MEL-0,5.8017898,0.12306295
119,MEP-0,7.0095387,0.32648334
120,MER-0,6.781227,0.19569515
121,MFI-0,6.5535793,0.23197003
122,MFS-0,5.95868,0.1321625
123,MON-0,7.343076,0.2124555
124,MOR-0,6.1600285,0.17331775
125,MOZ-0,5.617869,0.09327461
126,MRE-0,6.0553045,0.21937515
127,MSE-0,5.3072042,0.089886166
128,MSO-0,6.207081,0.19858499
129,MTF-0,6.8396606,0.14037769
130,MTN-0,6.9800034,0.3561099
131,MTT-0,6.476505,0.14033204
132,MTW-0,6.065342,0.24833778
133,MVY-0,5.6761556,0.54028
134,MWF-0,6.662949,0.20498121
135,MWW-0,5.4643764,0.15866286
136,NAB-0,6.3443203,0.16999084
137,NAT-0,6.680005,0.22767305
138,NES-0,5.779686,0.13906513
139,NON-0,6.3044105,0.1270946
140,NPO-0,6.5573845,0.2100074
141,NPT-0,4.828825,0.2557631
142,NSI-0,7.2159348,0.17684077
143,OBW-0,4.648349,0.0765642
144,OFF-0,5.611528,0.09452911
145,OKO-0,5.5278807,0.11685077
146,OSI-0,6.2557573,0.14173774
147,OSO-0,5.214581,0.09964425
148,OWE-0,6.330667,0.1810969
149,PAU-0,6.5924926,0.17950492
150,PCR-0,6.5594053,0.16316517
151,PHI-0,6.8507943,0.19850877
152,PON-0,6.622404,0.24230836
153,POS-0,5.094801,0.103832126
154,PSI-0,6.385328,0.32028565
155,PUN-0,5.98983,0.15253493
156,RHO-0,5.5352006,0.12432302
157,RRO-0,6.8818617,0.14601988
158,RSN-0,7.239541,0.17354555
159,RTE-0,6.4492903,0.14525716
160,RTH-0,6.1509676,0.16953361
161,RWR-0,7.99578,0.5659252
162,RWY-0,3.5915015,0.17564711
163,SAF-0,5.5591187,0.122670755
164,SAO-0,4.580379,0.08904727
165,SAS-0,5.351854,0.10100619
166,SAT-0,5.3737545,0.20275038
167,SAV-0,5.470708,0.11976137
168,SBE-0,4.423938,0.0994179
169,SBN-0,7.8481836,0.34163845
170,SBS-0,4.1870484,0.061845798
171,SBT-0,4.15418,0.06811894
172,SEW-0,5.5789366,0.14144541
173,SFE-0,5.4153523,0.1009008
174,SFF-0,5.8738394,0.12290996
175,SFG-0,5.585654,0.09567309
176,SFH-0,4.8267097,0.11915737
177,SFN-0,4.917599,0.103785686
178,SFO-0,5.3572717,0.10815739
179,SFS-0,5.553932,0.12072123
180,SFV-0,5.9165955,0.12598889
181,SGT-0,6.223529,0.18998484
182,SIV-0,6.7170343,0.18949598
183,SOD-0,6.4886646,0.30615842
184,SOF-0,6.3665514,0.19460525
185,SOS-0,5.742333,0.1343591
186,SSF-0,5.1467614,0.10787682
187,SSY-0,5.552006,0.103834875
188,STF-0,5.9008846,0.12926348
189,STI-0,6.0610085,0.19654635
190,STO-0,5.6861215,0.10783132
191,STT-0,5.949319,0.123410515
192,STW-0,6.459499,0.20563856
193,SVV-0,6.425628,0.1796863
194,SZR-0,6.0370736,0.13396956
195,TER-0,5.8626404,0.19120294
196,THO-0,6.5188637,0.14751492
197,TOL-0,6.971918,0.1857505
198,TON-0,6.3385305,0.29805726
199,TSC-0,3.8942502,0.11826711
200,TUN-0,5.871644,0.13075867
201,UEI-0,6.765561,0.31375527
202,UFI-0,5.4238334,0.085391685
203,UOS-0,6.724998,0.28042462
204,UOV-0,5.259079,0.104222566
205,UOZ-0,7.051829,0.2631076
206,USI-0,5.3668194,0.09730907
207,UTL-0,4.787258,0.13012278
208,UWY-0,5.466783,0.13816614
209,VET-0,5.826602,0.19333604
210,VFI-0,3.8073142,0.13481411
211,VNI-0,7.2178345,0.15272129
212,VSV-0,6.814808,0.263746
213,WEI-0,6.660831,0.20784707
214,YUG-0,6.6864605,0.23326084
215,ZON-0,6.3827147,0.31330645
