,Zeolite,"Heat of adsorption (92.4 K, 20.09 bar)","Heat of adsorption error (92.4 K, 20.09 bar)"
98,JNT-0,9.299327,1.2571563
99,JOZ-0,5.948988,0.18737221
100,JRY-0,6.64542,0.12971675
101,JSR-0,4.587254,0.069461
102,JST-0,6.363332,0.1242787
103,JSW-0,6.279587,0.14583923
104,KFI-0,5.604426,0.16297838
105,LAU-0,5.685301,0.16513789
106,LEV-0,5.6665974,0.06424864
107,LIO-0,6.766891,0.27711123
108,LOS-0,6.2735844,0.08807861
109,LOV-0,7.561555,0.17770047
110,LTA-0,4.7925577,0.11876835
111,LTF-0,5.6273093,0.2196223
112,LTJ-0,7.5852485,0.2687931
113,LTL-0,5.1600194,0.07939042
114,LTN-0,5.775981,0.15480253
115,MAR-0,6.3032074,0.102456294
116,MAZ-0,5.2671885,0.24459894
117,MEI-0,4.7348175,0.15157193
118,MEL-0,5.648122,0.07657602
119,MEP-0,6.3247747,0.28507757
120,MER-0,6.421706,0.17300421
121,MFI-0,6.279301,0.15054905
122,MFS-0,5.7368817,0.14743595
123,MON-0,7.233799,0.15426087
124,MOR-0,5.8801622,0.101645984
125,MOZ-0,5.4732013,0.111754656
126,MRE-0,5.6998577,0.2408341
127,MSE-0,5.1966076,0.12047421
128,MSO-0,6.0618587,0.12580323
129,MTF-0,6.510116,0.12624998
130,MTN-0,6.4049516,0.4448792
131,MTT-0,6.270551,0.112973355
132,MTW-0,5.7354207,0.2835277
133,MVY-0,5.3785057,0.36929032
134,MWF-0,6.1494694,0.20317109
135,MWW-0,5.352354,0.05680224
136,NAB-0,6.2388244,0.2227004
137,NAT-0,6.420923,0.18659276
138,NES-0,5.7017956,0.11135607
139,NON-0,6.0251007,0.12667698
140,NPO-0,6.4409075,0.23731299
141,NPT-0,4.7509193,0.27544424
142,NSI-0,7.2436914,0.16087198
143,OBW-0,4.6021776,0.15091068
144,OFF-0,5.443681,0.14671305
145,OKO-0,5.2977285,0.209026
146,OSI-0,6.1496205,0.14179021
147,OSO-0,5.1985765,0.14171407
148,OWE-0,5.995574,0.19872433
149,PAU-0,6.117488,0.18513618
150,PCR-0,6.06601,0.11562767
151,PHI-0,6.3579173,0.174547
152,PON-0,6.299726,0.18335135
153,POS-0,4.999493,0.10234049
154,PSI-0,5.929585,0.3465589
155,PUN-0,5.89299,0.08570065
156,RHO-0,5.327285,0.14490062
157,RRO-0,6.734694,0.2248261
158,RSN-0,7.0314155,0.22913142
159,RTE-0,6.1606374,0.1477818
160,RTH-0,6.0172596,0.09082198
161,RWR-0,8.738015,1.082705
162,RWY-0,3.4903743,0.15023951
163,SAF-0,5.377028,0.16849475
164,SAO-0,4.5362124,0.090116255
165,SAS-0,5.264613,0.117673196
166,SAT-0,5.158332,0.270171
167,SAV-0,5.3588786,0.102095544
168,SBE-0,4.3993406,0.09996856
169,SBN-0,8.565249,0.8158726
170,SBS-0,4.232661,0.12292046
171,SBT-0,4.201106,0.12177982
172,SEW-0,5.4289966,0.080566406
173,SFE-0,5.30794,0.14307244
174,SFF-0,5.742622,0.0696758
175,SFG-0,5.45442,0.07547105
176,SFH-0,4.782672,0.19653583
177,SFN-0,4.8601375,0.17702286
178,SFO-0,5.226276,0.12873489
179,SFS-0,5.4356594,0.082556166
180,SFV-0,5.7526264,0.09277559
181,SGT-0,5.984031,0.1404766
182,SIV-0,6.269369,0.16009486
183,SOD-0,6.121997,0.19828938
184,SOF-0,6.163867,0.13042018
185,SOS-0,5.6973343,0.16520452
186,SSF-0,5.0776,0.084287524
187,SSY-0,5.494421,0.17077467
188,STF-0,5.747091,0.08792341
189,STI-0,5.835411,0.19661488
190,STO-0,5.506965,0.13475917
191,STT-0,5.761042,0.07437961
192,STW-0,6.187832,0.14767258
193,SVV-0,6.015534,0.13282864
194,SZR-0,5.842988,0.14931172
195,TER-0,5.7084064,0.1593076
196,THO-0,6.297177,0.11798495
197,TOL-0,6.531792,0.1290496
198,TON-0,5.995482,0.3509001
199,TSC-0,3.8956172,0.07862234
200,TUN-0,5.7375855,0.0885989
201,UEI-0,6.0764885,0.52797866
202,UFI-0,5.3223557,0.1627671
203,UOS-0,6.386113,0.24091971
204,UOV-0,5.108282,0.09721487
205,UOZ-0,6.6251154,0.203978
206,USI-0,5.272449,0.111258775
207,UTL-0,4.7053175,0.07363027
208,UWY-0,5.3518414,0.058101337
209,VET-0,5.73448,0.19475786
210,VFI-0,3.790235,0.07940475
211,VNI-0,7.039016,0.22530113
212,VSV-0,6.5021496,0.26915804
213,WEI-0,6.5359693,0.2035528
214,YUG-0,6.294503,0.20405981
215,ZON-0,5.902649,0.32289973
