,Zeolite,"Heat of adsorption (275.9 K, 1.0 bar)","Heat of adsorption error (275.9 K, 1.0 bar)"
50,DFO-0,5.3632836,1.1505028
51,DFT-0,7.775532,0.7670997
52,DOH-0,7.262132,0.23236352
53,DON-0,5.2946863,1.0391908
54,EAB-0,5.9563804,1.127871
55,EDI-0,6.660198,1.9765514
56,EEI-0,6.0262055,1.2226728
57,EMT-0,4.8854833,1.1834974
58,EON-0,5.763479,1.3368316
59,EPI-0,6.986477,0.55497587
60,ERI-0,5.71921,1.2208097
61,ESV-0,6.577412,0.8547108
62,ETL-0,6.390354,1.192407
63,ETR-0,5.478561,1.1343191
64,EUO-0,5.8479195,1.2426903
65,EWS-0,5.926599,1.1053387
66,EZT-0,5.8212857,1.0804769
67,FAR-0,6.1987844,1.1207677
68,FAU-0,4.824104,1.2654829
69,FER-0,6.3118286,0.8806603
70,FRA-0,6.3188972,0.8444191
71,GIS-0,6.247804,1.2202476
72,GIU-0,6.197454,1.1629273
73,GME-0,5.5250645,1.4286958
74,GON-0,6.1049905,0.9656545
75,GOO-0,6.496206,1.1431668
76,HEU-0,6.709002,1.0197022
77,IFO-0,5.283918,1.261713
78,IFR-0,5.7565284,1.0878317
79,IFW-0,5.576799,1.1493771
80,IFY-0,6.3113675,1.0455989
81,IHW-0,5.8448467,1.4701387
82,IMF-0,6.107109,0.89077723
83,IRN-0,5.7033467,1.1392756
84,IRR-0,4.5580373,1.3856702
85,IRY-0,4.5759945,1.37608
86,ISV-0,5.2230825,1.3118095
87,ITE-0,5.8469195,1.1222538
88,ITG-0,5.638022,1.1705956
89,ITH-0,6.0251865,0.9962726
90,ITR-0,5.9865994,1.054814
91,ITT-0,4.734573,1.2453614
92,ITW-0,7.066282,0.80889237
93,IWR-0,5.4586434,1.1632652
94,IWS-0,5.184328,1.1339408
95,IWV-0,5.220116,1.1442014
96,IWW-0,5.5300603,1.32801
97,JBW-0,6.8903713,0.97594804
98,JNT-0,7.5584273,0.8113623
99,JOZ-0,6.320849,1.0543102
100,JRY-0,6.8119106,0.7762708
101,JSR-0,5.193189,1.0399082
102,JST-0,6.2083173,1.0361791
103,JSW-0,5.964728,1.561741
104,KFI-0,5.6207957,1.4276706
105,LAU-0,6.1801314,1.0021039
106,LEV-0,5.939552,1.0994843
107,LIO-0,7.1176934,0.47348413
108,LOS-0,6.553206,0.92369515
109,LOV-0,7.2373962,0.8677499
110,LTA-0,5.3615665,1.1084073
111,LTF-0,5.6262302,1.5755664
112,LTJ-0,7.2489967,1.1469786
113,LTL-0,5.5352097,1.0810285
114,LTN-0,5.957742,1.1693091
115,MAR-0,6.559246,0.83412415
116,MAZ-0,5.558153,1.4773293
117,MEI-0,5.2980657,1.2492797
118,MEL-0,6.003914,0.9602267
119,MEP-0,7.363358,0.60140514
120,MER-0,6.4169993,1.1037912
121,MFI-0,6.4278817,0.8816208
122,MFS-0,5.9104047,1.2738457
123,MON-0,6.8507614,1.1159604
124,MOR-0,6.049431,1.1361314
125,MOZ-0,5.7629313,1.1308161
126,MRE-0,6.3023953,0.8484875
127,MSE-0,5.5561833,1.1751645
128,MSO-0,6.0862527,0.90896106
129,MTF-0,6.4700055,0.9363531
130,MTN-0,7.309479,0.24372037
131,MTT-0,6.01462,1.2516394
132,MTW-0,5.820337,1.608112
133,MVY-0,8.624353,6.6506886
134,MWF-0,6.5358443,1.2110637
135,MWW-0,5.7544694,1.0213112
136,NAB-0,5.9060054,1.519243
137,NAT-0,6.4217954,0.9242345
138,NES-0,5.7625785,1.220965
139,NON-0,5.97526,1.3051937
140,NPO-0,6.118113,1.3847246
141,NPT-0,5.183185,1.6870188
142,NSI-0,6.9801764,1.403995
143,OBW-0,5.143108,1.3167559
144,OFF-0,5.7028008,1.2335919
145,OKO-0,5.64978,1.3639064
146,OSI-0,5.78438,1.6149548
147,OSO-0,5.477288,1.1968999
148,OWE-0,6.0139236,1.3396235
149,PAU-0,6.410973,1.171842
150,PCR-0,6.603948,0.9481217
151,PHI-0,6.6511955,1.0579304
152,PON-0,6.546892,0.78325474
153,POS-0,5.445913,1.0907803
154,PSI-0,6.216423,1.442797
155,PUN-0,5.854526,1.2279911
156,RHO-0,5.7724137,1.1789807
157,RRO-0,6.2015533,1.4406143
158,RSN-0,6.837769,0.95936257
159,RTE-0,5.9904895,1.3749211
160,RTH-0,6.0077343,1.0407581
161,RWR-0,7.6677604,1.1035732
162,RWY-0,4.447271,1.5358927
163,SAF-0,5.7437644,1.1826419
164,SAO-0,5.138904,1.1532195
165,SAS-0,5.5948334,1.1540045
166,SAT-0,5.5659122,1.5088466
167,SAV-0,5.668045,1.1794134
168,SBE-0,5.033221,1.1750934
169,SBN-0,7.384991,0.9567849
170,SBS-0,4.8675065,1.3687532
171,SBT-0,4.8619723,1.3576382
172,SEW-0,5.8648963,1.017601
173,SFE-0,5.638075,1.1677876
174,SFF-0,5.9577065,1.0205635
175,SFG-0,5.835982,1.0240155
176,SFH-0,5.1864247,1.4528273
177,SFN-0,5.275258,1.3572345
178,SFO-0,5.618332,1.2198089
179,SFS-0,5.775268,1.0695983
180,SFV-0,6.058571,0.9470269
181,SGT-0,6.209208,0.9363523
182,SIV-0,6.463852,1.1503165
183,SOD-0,6.695858,0.6519523
184,SOF-0,6.226771,0.9195523
185,SOS-0,5.6824164,1.409753
186,SSF-0,5.4465995,1.1531788
187,SSY-0,5.626859,1.2947816
188,STF-0,5.975058,1.0271095
189,STI-0,5.7240467,1.5389582
190,STO-0,5.8707466,1.104377
191,STT-0,5.984424,1.0764552
192,STW-0,6.3356934,0.9038798
193,SVV-0,6.34329,1.0002495
194,SZR-0,5.843267,1.3713962
195,TER-0,6.0674434,0.9036267
196,THO-0,6.2553887,0.95319456
197,TOL-0,6.882292,0.7164667
198,TON-0,6.4518256,0.8410787
199,TSC-0,4.6995177,1.3902211
200,TUN-0,5.9821076,0.9735247
201,UEI-0,7.0726466,0.75060946
202,UFI-0,5.580771,1.2618772
203,UOS-0,6.5951858,0.87938017
204,UOV-0,5.5746627,1.1673304
205,UOZ-0,6.9466796,0.5984798
206,USI-0,5.589245,1.2385386
207,UTL-0,5.267124,1.0582956
208,UWY-0,5.7473693,1.0394924
209,VET-0,5.3447394,2.027425
210,VFI-0,4.648882,1.4129832
211,VNI-0,6.6797485,1.0356994
212,VSV-0,6.411177,1.1838644
213,WEI-0,6.3120575,1.1039157
214,YUG-0,6.2289867,1.2948235
215,ZON-0,6.3078465,1.281721
