,Zeolite,"Heat of adsorption (92.4 K, 30.0 bar)","Heat of adsorption error (92.4 K, 30.0 bar)"
140,NPO-0,6.311979,0.1941306
141,NPT-0,4.6609044,0.30040425
142,NSI-0,7.2030425,0.17412515
143,OBW-0,4.53963,0.2082271
144,OFF-0,5.3432193,0.16366462
145,OKO-0,5.150342,0.2434409
146,OSI-0,6.011709,0.1328587
147,OSO-0,5.09565,0.18547393
148,OWE-0,5.8399515,0.2025678
149,PAU-0,5.898905,0.15170412
150,PCR-0,5.870516,0.12268228
151,PHI-0,6.132446,0.1529003
152,PON-0,6.099074,0.17576112
153,POS-0,4.9176674,0.13856143
154,PSI-0,5.693428,0.29167622
155,PUN-0,5.7523155,0.08740236
156,RHO-0,5.2220507,0.15293783
157,RRO-0,6.572756,0.1838267
158,RSN-0,6.8586607,0.19987644
159,RTE-0,5.996847,0.18062529
160,RTH-0,5.879731,0.11262554
161,RWR-0,9.222532,1.4052426
162,RWY-0,3.4275846,0.13444011
163,SAF-0,5.2725334,0.1807878
164,SAO-0,4.4630976,0.15099573
165,SAS-0,5.1653695,0.15597992
166,SAT-0,5.002115,0.31313804
167,SAV-0,5.258419,0.12806657
168,SBE-0,4.3217154,0.1564634
169,SBN-0,8.632802,0.9777872
170,SBS-0,4.176629,0.16094807
171,SBT-0,4.1458507,0.16076975
172,SEW-0,5.320713,0.12397844
173,SFE-0,5.211465,0.17731427
174,SFF-0,5.6317663,0.099843465
175,SFG-0,5.361427,0.10893167
176,SFH-0,4.701514,0.24706212
177,SFN-0,4.7735963,0.22818969
178,SFO-0,5.1301494,0.15543821
179,SFS-0,5.342245,0.10857401
180,SFV-0,5.6136384,0.10601575
181,SGT-0,5.812699,0.12727802
182,SIV-0,6.0455503,0.12953141
183,SOD-0,5.9064393,0.1751274
184,SOF-0,6.018802,0.12061577
185,SOS-0,5.5883007,0.17022009
186,SSF-0,4.97843,0.14643167
187,SSY-0,5.377973,0.21027917
188,STF-0,5.6367254,0.095740914
189,STI-0,5.6827984,0.23193377
190,STO-0,5.404723,0.15611528
191,STT-0,5.6557903,0.09797604
192,STW-0,6.0117617,0.11369535
193,SVV-0,5.8269897,0.112531506
194,SZR-0,5.7097344,0.19452795
195,TER-0,5.558065,0.17189595
196,THO-0,6.1462297,0.11545146
197,TOL-0,6.296482,0.14227763
198,TON-0,5.798942,0.3389695
199,TSC-0,3.8460937,0.08685035
200,TUN-0,5.625617,0.12485344
201,UEI-0,5.831384,0.5348478
202,UFI-0,5.214251,0.19981359
203,UOS-0,6.175511,0.23139326
204,UOV-0,5.008999,0.13238114
205,UOZ-0,6.380205,0.21250446
206,USI-0,5.165342,0.17129439
207,UTL-0,4.627606,0.15258195
208,UWY-0,5.256062,0.09377091
209,VET-0,5.6019177,0.20329577
210,VFI-0,3.7313793,0.07707962
211,VNI-0,6.893011,0.17973082
212,VSV-0,6.310675,0.23826894
213,WEI-0,6.3965187,0.13343886
214,YUG-0,6.0862865,0.18925957
215,ZON-0,5.672532,0.2752485
