,material,pressure,temperature,delta_e,delta_e_err,delta_h,delta_h_err,delta_pv,delta_pv_err,delta_gt,delta_gt_err,q_st,q_st_err
36,8312978,1.0,92.4,-5.349017173503194,0.00121881876263652,-6.117920434885963,0.0015659465429704866,-0.7689032613827689,0.0003471277803338002,-2.082973396539126,0.01470422227978263,-4.732828092328019,0.047835456345325156
37,8313037,1.0,92.4,-5.224441645763788,0.024953381148257403,-5.994347869693325,0.02370603750520006,-0.7699062239295373,0.001247343643057286,-2.0397985532588523,0.04476724630735984,-4.919391009658435,0.1332172427787408
38,8313042,1.0,92.4,-5.610002086084075,0.050226018596476685,-6.379034425575649,0.04989195156508597,-0.7690323394915746,0.00033406703139099436,-2.1465427493481646,0.01929440993357323,-5.389933377422155,0.2719986319647738
39,8315144,1.0,92.4,-6.017672990021422,0.021791723770287597,-6.7866939870912955,0.02124984087828885,-0.769020997069873,0.0005418828919990792,-2.1555041432489115,0.006777851548712022,-4.991898728588941,0.12215863690563156
40,8315436,1.0,92.4,-5.754477593121685,0.029639053242623614,-6.523624822143304,0.028884182726855112,-0.7691472290216195,0.0007548705157683355,-2.323393198178101,0.0015575214415213257,-5.447925485598857,0.057575073877205174
41,8315703,1.0,92.4,-4.447474799029564,0.011270819656640008,-5.217110702562727,0.011920159886440906,-0.7696359035331628,0.0006493402298010098,-2.025207606868206,0.005801238431083711,-4.869837626335895,0.017104716998051828
42,8316304,1.0,92.4,-3.9698525680168233,0.004482462994240377,-4.738862230236386,0.004634327356727308,-0.7690096622195619,0.00015186436248704194,-2.00733709643929,0.010345158332313087,-4.750446803654677,0.0016033889228919127
43,8316376,1.0,92.4,-3.596647744132497,0.012714036150847763,-4.365696664995456,0.011998049859551774,-0.7690489208629596,0.0007159862912958781,-1.3818112524902473,0.010952124015785825,-4.4569159401096705,0.0434850340286288
44,8317141,1.0,92.4,-6.590589231569304,0.011023929798368304,-7.360193788377591,0.010473213883115395,-0.7696045568082879,0.000550715915253075,-2.3332951914074815,0.0016736470041143203,-5.425961135309535,0.03590430898813057
45,8317769,1.0,92.4,-5.906408371180824,0.010879579023685526,-6.676072496035783,0.011693647677537111,-0.7696641248549598,0.0008140686538519737,-2.5338593806390843,0.00899916355571162,-6.28491784849786,0.3762602958866177
46,8318323,1.0,92.4,-3.0202525272323246,0.010911948943797212,-3.7896555867557176,0.011365236142560908,-0.7694030595233929,0.0004532871987636966,-1.3900744427615992,0.0037130055576179988,-3.611185591435506,0.08608258838095972
47,8318347,1.0,92.4,-3.4289748039581625,0.008150953553130336,-4.198615001508004,0.007502793380662176,-0.7696401975498414,0.0006481601724679376,-1.6130056865471434,0.010849650588761861,-4.102034171083509,0.051502091508030645
48,8318459,1.0,92.4,-4.296428296887541,0.0031718825461211075,-5.06604692485759,0.004408849701996953,-0.7696186279700497,0.001236967155875679,-1.7260862537164012,0.005071072448562308,-5.0061114482054725,0.035396441694765635
49,8319320,1.0,92.4,-6.061514998119748,0.028658537825954955,-6.830439973600542,0.02938479592775689,-0.7689249754807935,0.0007262581018019354,-1.9675731218150183,0.011868959213976127,-4.976606652622711,0.14528196172484442
50,8321874,1.0,92.4,-6.196356156385118,0.0035085577244902133,-6.9668846749054705,0.0036110629772267977,-0.7705285185203525,0.00010250525273675093,-2.2414748518086514,0.0018912964892847661,-6.939065314048728,0.08375332285700665
51,8322959,1.0,92.4,-6.091937690980593,0.0026222506440896076,-6.860730082392408,0.0028654303834128036,-0.7687923914118133,0.0002431797393230295,-2.1778249548495356,0.000598315102654956,-5.6373087638739,0.2877597347267189
52,8323183,1.0,92.4,-5.384636541635299,0.11919535682990112,-6.1541735875856265,0.11987270732346822,-0.7695370459503277,0.0006773504935672081,-2.112166570935658,0.033594894802173814,-5.436203066929566,0.016563570714086318
53,8323211,1.0,92.4,-4.091686935591905,0.01620580290868867,-4.860698296492746,0.01685858896436354,-0.76901136090084,0.0006527860556749254,-1.7810338653993545,0.014124813726440477,-4.634618397391673,0.035626079548014555
54,8323836,1.0,92.4,-4.522669357135901,0.013735261371124352,-5.292515196852921,0.013554021603872979,-0.7698458397170199,0.00018123976725126223,-1.8657891989463733,0.006182277911813028,-4.4486600018541615,0.05380697424153169
55,8324002,1.0,92.4,-4.073827398116079,0.010522020573405122,-4.843528660152877,0.011237548932296892,-0.7697012620367981,0.0007155283588918815,-1.817715034366969,0.008559476782520448,-4.362940802544218,0.006102129562405079
56,8325000,1.0,92.4,-4.889896828549842,0.03109960329478545,-5.65914229137606,0.03047086966930257,-0.7692454628262191,0.0006287336254830467,-2.148802819367214,0.0037735559847420497,-5.617719372161973,0.023519044901053388
57,8325096,1.0,92.4,-4.194945068024952,0.021212565335817946,-4.964446812319597,0.021585840152045677,-0.7695017442946459,0.000373274816227398,-1.8597425462041604,0.0026740105754500254,-5.0040205004758445,0.016695590870419164
58,8326122,1.0,92.4,-4.724645759094976,0.0366364712692171,-5.493240654713136,0.0370989544346747,-0.7685948956181607,0.0004624831654576611,-1.537532489093497,0.004338710148327651,-4.417032734064495,0.056233452034841314
59,8326559,1.0,92.4,-5.278035379619176,0.004229681038627309,-6.046884591701513,0.0022834412290171358,-0.7688492120823365,0.0019462398096104505,-2.3292486348965076,0.0047356130494324855,-5.284095670379099,0.027502980549996003
60,8326730,1.0,92.4,-4.7845190680925835,0.0027679949701049367,-5.554563980453324,0.002693716224644316,-0.7700449123607401,7.427874546073188e-05,-2.0099567116941657,0.0033828515332989806,-4.760996219805724,0.013887348996886484
61,8326866,1.0,92.4,-4.953894086730431,0.009590310217624243,-5.7235158054188435,0.00982708945920896,-0.7696217186884126,0.00023677924158471697,-2.156833219086612,0.007387683951582513,-5.333691798114295,0.041602867115738906
62,8326877,1.0,92.4,-4.2047568925939505,0.0658084413838087,-4.974455899567673,0.06626526633850593,-0.7696990069737222,0.00045682495469701045,-1.8874782517953965,0.005816843965960938,-4.638668789048467,0.008551378868575377
63,8328497,1.0,92.4,-4.9600798864699485,0.010790066484125838,-5.728985867571305,0.011226624738072122,-0.7689059811013571,0.00043655825394639525,-2.1711187136387378,0.0018098414052127865,-5.776021896789302,0.03950469958375802
64,8328498,1.0,92.4,-5.750328496391854,0.04503624601707923,-6.5187955979015335,0.044676666214442225,-0.7684671015096795,0.00035957980263690015,-2.315008856844142,0.008432210428969578,-6.086331446567113,0.0289939943937485
65,8328529,1.0,92.4,-5.707921560568276,0.012702296031760874,-6.47738745406298,0.011782964707005128,-0.7694658934947042,0.0009193313247554125,-2.3511338673634947,0.0046992434305890285,-5.879159029122716,0.01860536735616991
66,8329212,1.0,92.4,-4.0232451322183795,0.011440652635665405,-4.791976479521145,0.011847504868448766,-0.7687313473027644,0.0004068522327835833,-1.780530374915101,0.0010617858098785904,-4.71624160255231,0.22090968613598383
67,8329795,1.0,92.4,-4.7675682726897275,0.002091337864694953,-5.537743068127506,0.0010395271559602293,-0.7701747954377791,0.0010518107087351125,-2.164830053350541,0.006833993613706513,-5.2335974264945655,0.025257614700680442
68,8329937,1.0,92.4,-6.185261770100382,0.0032863039744648326,-6.954588384329119,0.0029048549593597706,-0.7693266142287369,0.00038144901510511753,-2.24530075546207,0.0022131821610005264,-7.0152698588671445,0.054533950906379136
69,8331121,1.0,92.4,-4.564417862063837,0.010801413425581607,-5.333088408239046,0.011021883587993386,-0.7686705461752091,0.0002204701624120009,-1.8992971620282644,0.054266289212285046,-4.983941197457881,0.1618180031251817
