,zeolite,pressure,temperature,loading (n),loading std (n),loading (v),loading std (v),density (g/mL)
6,MON-0,2.71,95.0,84.0554125,1.815990918505308,4.811134137268504,0.10394304948524843,1.7607462676565635
31,JST-0,30.0,100.0,182.363875,1.7275701959327154,11.283469847801491,0.10689061205662201,1.427513156710266
10,MON-0,30.0,100.0,183.0202125,1.8985191982420804,10.475646552432133,0.10866677413452826,1.7607462676565635
11,MON-0,54.6,100.0,206.9383125,1.177897965060535,11.844662347918256,0.06742010944175479,1.7607462676565635
30,JST-0,2.71,100.0,64.26877499999999,1.8252023858671111,3.9765265180268745,0.11293144591858935,1.427513156710266
9,MON-0,2.71,100.0,62.1112625,1.3643888667985211,3.5551025976179123,0.07809441008410321,1.7607462676565635
32,JST-0,54.6,100.0,201.939425,1.3118263811857904,12.494675346583149,0.08116713585769336,1.427513156710266
33,JST-0,2.71,105.0,50.1876125,0.909497954144896,3.105277360315442,0.05627371507778652,1.427513156710266
34,JST-0,30.0,105.0,167.0683,0.7420224642825888,10.337080880593561,0.04591143998296784,1.427513156710266
35,JST-0,54.6,105.0,190.7245625,1.5889100162827865,11.800773866007626,0.0983112376812381,1.427513156710266
0,SBN-0,2.71,105.0,91.52233125,0.5350838555412951,4.907565104737502,0.02869200141318365,1.6108460402024107
12,MON-0,2.71,105.0,46.7549375,1.7681010688995549,2.67614266829165,0.1012019471170114,1.7607462676565635
1,SBN-0,30.0,105.0,183.840425,0.2522352832674347,9.8578001920172,0.01352523539818422,1.6108460402024107
2,SBN-0,54.6,105.0,191.16808125,0.13577989297365667,10.250720145222738,0.007280722153616581,1.6108460402024107
13,MON-0,30.0,105.0,164.36585,3.4616421114118623,9.407914712644523,0.19813625366742246,1.7607462676565635
14,MON-0,54.6,105.0,193.567525,2.2672021633226667,11.079349915677051,0.12976932001910862,1.7607462676565635
17,MON-0,54.6,110.0,175.2940625,1.4030923962247581,10.033419896121844,0.08030970908885611,1.7607462676565635
16,MON-0,30.0,110.0,148.1529,2.162299160037758,8.479923582854667,0.12376491881286847,1.7607462676565635
5,SBN-0,54.6,110.0,187.25915625,0.14654769794656738,10.041117705413424,0.007858108057340222,1.6108460402024107
3,SBN-0,2.71,110.0,71.69843750000003,0.5936181431221149,3.844578095132413,0.031830697983069166,1.6108460402024107
36,JST-0,2.71,110.0,39.1705125,0.8282878431401421,2.4236121146070264,0.05124897079189794,1.427513156710266
37,JST-0,30.0,110.0,150.5315375,2.062464169953929,9.313895444064508,0.12761163511055074,1.427513156710266
38,JST-0,54.6,110.0,178.07745,1.492795125762402,11.01825423290867,0.0923642842667447,1.427513156710266
15,MON-0,2.71,110.0,34.0072125,1.6424785861903184,1.946492868286075,0.09401161163479806,1.7607462676565635
4,SBN-0,30.0,110.0,176.96019375,0.26226803493456763,9.488871840500536,0.01406320663770199,1.6108460402024107
18,MON-0,2.71,115.0,25.7366125,0.9189364469830053,1.4731031743660918,0.05259776115024318,1.7607462676565635
19,MON-0,30.0,115.0,128.5848375,2.110246470757325,7.359893703827499,0.12078554529145814,1.7607462676565635
20,MON-0,54.6,115.0,162.090975,2.9593192117233653,9.277706217498316,0.1693844722086969,1.7607462676565635
7,SBN-0,30.0,115.0,168.87495,0.5240089974179799,9.055328905690331,0.02809815085754781,1.6108460402024107
8,SBN-0,54.6,115.0,182.3659,0.2327878366130858,9.778733942969234,0.012482434048244536,1.6108460402024107
6,SBN-0,2.71,115.0,55.84211875,0.696706865787856,2.994338426580537,0.03735847039813594,1.6108460402024107
39,JST-0,2.71,115.0,32.256975,1.1572018706237035,1.9958481623281281,0.07159999432454504,1.427513156710266
40,JST-0,30.0,115.0,137.60345,3.1819116938563834,8.51399093723173,0.1968756402878337,1.427513156710266
41,JST-0,54.6,115.0,165.7628125,1.5430166431681007,10.256305952758034,0.09547165943826944,1.427513156710266
11,SBN-0,54.6,120.0,176.40089375,0.2182139080087215,9.458881332986234,0.011700958068766426,1.6108460402024107
9,SBN-0,2.71,120.0,43.7670875,0.5067094722015275,2.346857083046526,0.02717052428683818,1.6108460402024107
10,SBN-0,30.0,120.0,158.92300625,0.6324261001480219,8.521690708271594,0.033911639028662274,1.6108460402024107
12,SBN-0,2.71,125.0,34.64235625000001,0.4170638226320249,1.8575752644891803,0.02236358967743576,1.6108460402024107
13,SBN-0,30.0,125.0,147.633975,0.5652221781078626,7.916355867341268,0.030308063614866362,1.6108460402024107
14,SBN-0,54.6,125.0,168.99935625,0.4859772020356893,9.061999755995087,0.02605882876708646,1.6108460402024107
15,SBN-0,2.71,130.0,27.47061875,0.2614250238327186,1.4730159092516313,0.01401800311403912,1.6108460402024107
16,SBN-0,30.0,130.0,135.59819375,0.4062262496422837,7.270979167862213,0.02178246270767777,1.6108460402024107
2,MEP-0,54.6,130.0,70.67340000000002,0.5996549924748406,5.69886182743613,0.048354132477655916,1.7828918291527616
1,MEP-0,30.0,130.0,64.1976875,0.2488663217346815,5.176682467568044,0.02006773101433092,1.7828918291527616
0,MEP-0,2.71,130.0,30.5051625,1.4768202987647985,2.4598322156707617,0.11908574975328096,1.7828918291527616
43,MTN-0,30.0,130.0,218.139075,3.31964878102714,5.717217689725182,0.08700483732482595,1.7132675500833263
42,MTN-0,2.71,130.0,96.76105,5.2173904907051005,2.536015093748715,0.13674284264597325,1.7132675500833263
23,DOH-0,54.6,130.0,212.1690375,1.2602911359458742,6.507617139618483,0.03865546214390786,1.6917169606237903
22,DOH-0,30.0,130.0,193.05615,1.7364144788903342,5.92138949892138,0.053259046453978616,1.6917169606237903
21,DOH-0,2.71,130.0,81.46200000000002,2.9114435749297973,2.498590339448568,0.08929936400001462,1.6917169606237903
44,MTN-0,54.6,130.0,239.0792,1.1123630129144042,6.266038450403006,0.02915397663087291,1.7132675500833263
17,SBN-0,54.6,130.0,160.5668875,0.4064512192056406,8.609838094255409,0.02179452591415076,1.6108460402024107
18,SBN-0,2.71,135.0,22.4763875,0.32858475956554994,1.2052177153819843,0.01761920919155406,1.6108460402024107
20,SBN-0,54.6,135.0,152.15233125,0.42000187271717865,8.158636927716605,0.022521132343547332,1.6108460402024107
19,SBN-0,30.0,135.0,124.38534375,0.8976692985996773,6.669729280178044,0.04813437841053645,1.6108460402024107
3,MEP-0,2.71,135.0,26.1256375,1.35156859883017,2.1066822632869493,0.10898588004871126,1.7828918291527616
4,MEP-0,30.0,135.0,61.7653,0.428322880546906,4.980543039250138,0.034538495583433755,1.7828918291527616
5,MEP-0,54.6,135.0,67.923825,0.8370473788113779,5.477145481410995,0.06749664449232146,1.7828918291527616
26,DOH-0,54.6,135.0,204.6886875,1.3686169044307956,6.2781809577705765,0.04197801399200595,1.6917169606237903
25,DOH-0,30.0,135.0,184.43635,2.424116899512069,5.657004276265679,0.07435215274379305,1.6917169606237903
45,MTN-0,2.71,135.0,85.29634999999998,2.1182369980717453,2.2355362105069467,0.05551697712299437,1.7132675500833263
24,DOH-0,2.71,135.0,72.51227499999997,5.2160656048764364,2.224085706297879,0.1599863878897426,1.6917169606237903
46,MTN-0,30.0,135.0,208.2849375,1.3602213431437338,5.458950117847087,0.03565010773499935,1.7132675500833263
47,MTN-0,54.6,135.0,231.1909,2.5191517942553614,6.059293609746379,0.06602457263202244,1.7132675500833263
29,DOH-0,54.6,140.0,199.104625,2.2216650213015936,6.10690742388512,0.06814257886763099,1.6917169606237903
28,DOH-0,30.0,140.0,176.455375,2.057462057821476,5.412212998929245,0.06310617001122862,1.6917169606237903
27,DOH-0,2.71,140.0,61.7075625,2.5130827592508265,1.8926851726377776,0.07708090035229756,1.6917169606237903
50,MTN-0,54.6,140.0,224.3782875,1.861568089298311,5.8807415154082,0.04878992913472387,1.7132675500833263
49,MTN-0,30.0,140.0,199.4556625,1.869352794376636,5.2275432173756835,0.04899395885100963,1.7132675500833263
8,MEP-0,54.6,140.0,65.86645,0.6651652463861883,5.3112457814924765,0.053636655821955585,1.7828918291527616
7,MEP-0,30.0,140.0,58.90355,0.39803430442613785,4.749781283983442,0.03209612815435805,1.7828918291527616
6,MEP-0,2.71,140.0,22.2762375,0.5390747395711937,1.7962797820347007,0.04346914759269185,1.7828918291527616
48,MTN-0,2.71,140.0,73.935525,3.6958759451414216,1.9377797922225468,0.09686539347703896,1.7132675500833263
30,DOH-0,2.71,145.0,51.7577875,3.215859599484055,1.5875071547314306,0.09863636699680584,1.6917169606237903
11,MEP-0,54.6,145.0,63.76593750000001,0.6991902762079498,5.141867620765777,0.05638031812812187,1.7828918291527616
10,MEP-0,30.0,145.0,56.265925,0.5596664626141176,4.537092203967605,0.045129593876731613,1.7828918291527616
9,MEP-0,2.71,145.0,18.6699375,0.6373616711442178,1.5054800552876797,0.05139467038453905,1.7828918291527616
31,DOH-0,30.0,145.0,168.8278625,2.549765217102103,5.17826307078455,0.07820601923980865,1.6917169606237903
32,DOH-0,54.6,145.0,191.813475,2.022778541851528,5.883274356277273,0.06204236237158536,1.6917169606237903
53,MTN-0,54.6,145.0,217.302175,1.6177030380681732,5.695283336677567,0.04239845807526933,1.7132675500833263
51,MTN-0,2.71,145.0,63.21362500000001,2.437767036526461,1.6567689905242982,0.06389155553473408,1.7132675500833263
52,MTN-0,30.0,145.0,190.643975,1.9277357441763119,4.996597268552302,0.05052412043885467,1.7132675500833263
33,DOH-0,2.71,150.0,42.5741,3.308759089145053,1.3058264586029955,0.10148576631681604,1.6917169606237903
35,DOH-0,54.6,150.0,185.58185,1.8563852125838602,5.692138881773013,0.056938770941754535,1.6917169606237903
56,MTN-0,54.6,150.0,207.5923625,1.6642568078105495,5.440798385785962,0.043618588104217634,1.7132675500833263
55,MTN-0,30.0,150.0,180.6129125,2.641969015922357,4.733692660692665,0.06924349520386082,1.7132675500833263
54,MTN-0,2.71,150.0,53.57745,2.9987933898486574,1.4042140084731107,0.07859552267870254,1.7132675500833263
12,MEP-0,2.71,150.0,15.926075,0.8162919434093419,1.284224345770613,0.06582299700225475,1.7828918291527616
13,MEP-0,30.0,150.0,53.734725,0.4289609240653509,4.33298487281322,0.03458994523565806,1.7828918291527616
14,MEP-0,54.6,150.0,61.4160625,0.3843574115894597,4.9523817189024655,0.030993270183680543,1.7828918291527616
34,DOH-0,30.0,150.0,160.9683875,2.7754337676467395,4.937198423364434,0.08512769143430657,1.6917169606237903
59,MTN-0,54.6,155.0,200.3701625,1.7226554806007333,5.251511392620097,0.045149161776690164,1.7132675500833263
58,MTN-0,30.0,155.0,172.7812875,2.9860310863408217,4.528433217884016,0.0782610348416351,1.7132675500833263
57,MTN-0,2.71,155.0,45.4830375,2.368510990547384,1.1920671552193658,0.06207642043712719,1.7132675500833263
16,MEP-0,30.0,155.0,50.8407625,0.6418011392508972,4.099625611460552,0.05175265394451034,1.7828918291527616
17,MEP-0,54.6,155.0,58.9579875,0.6544573791269761,4.754170938234279,0.05277320994307077,1.7828918291527616
38,DOH-0,54.6,155.0,177.9857375,2.459756034618834,5.459152049754835,0.0754452709913694,1.6917169606237903
37,DOH-0,30.0,155.0,148.99992500000005,3.012990499383464,4.570103522913273,0.09241399615292817,1.6917169606237903
36,DOH-0,2.71,155.0,36.90736250000001,2.65812987405502,1.1320171294226304,0.08152976386920906,1.6917169606237903
15,MEP-0,2.71,155.0,13.964525,0.4971747096092076,1.1260516468823845,0.04009047214593546,1.7828918291527616
18,MEP-0,2.71,160.0,11.6713,0.6339816125093851,0.9411338077205184,0.05112211398950861,1.7828918291527616
19,MEP-0,30.0,160.0,48.1233625,0.6896742472673227,3.8805037476493456,0.05561297802451122,1.7828918291527616
20,MEP-0,54.6,160.0,57.275325,0.5170663249284365,4.618486775738795,0.04169446413201223,1.7828918291527616
41,DOH-0,54.6,160.0,172.8766625,3.5879140102354388,5.3024472617737155,0.1100479645079477,1.6917169606237903
40,DOH-0,30.0,160.0,141.41295,2.406815232833625,4.337396954935102,0.07382147859855823,1.6917169606237903
39,DOH-0,2.71,160.0,30.394825,1.795034588629144,0.9322655485285136,0.055057033735052066,1.6917169606237903
62,MTN-0,54.6,160.0,193.924475,2.1414736501706044,5.082576053559727,0.05612598767477005,1.7132675500833263
60,MTN-0,2.71,160.0,40.3801125,3.4882253960421985,1.0583243442198194,0.09142307007582703,1.7132675500833263
61,MTN-0,30.0,160.0,165.4601375,2.5767166699782416,4.336552839326751,0.0675332932763622,1.7132675500833263
