,zeolite,pressure,temperature,loading (n),loading std (n),loading (v),loading std (v),density (g/mL)
20,LTA-K,7.39,159.67,240.95524999999998,2.1670500000000033,3.3782037501734536,0.03038214123499444,1.2819683387369765
21,LTA-K,7.39,191.6,122.25554,0.19865999999999673,1.7140283256226236,0.002785222388843768,1.2819683387369765
22,LTA-K,7.39,229.92,58.28922,0.6992600000000024,0.8172175605166747,0.009803657543657163,1.2819683387369765
23,LTA-K,7.39,275.9,29.34362,0.44733999999999874,0.4113989096633701,0.006271727491318776,1.2819683387369765
24,LTA-K,20.09,77.0,1036.70354,5.0491400000000795,14.534631582611688,0.07078917634353707,1.2819683387369765
25,LTA-K,20.09,92.4,883.77838,0.5352199999999812,12.390613765992729,0.007503809156130743,1.2819683387369765
26,LTA-K,20.09,110.88,721.05592,0.21324000000004162,10.109237350208264,0.0029896346632294914,1.2819683387369765
27,LTA-K,20.09,133.06,546.24458,1.3549399999999991,7.658374277663273,0.01899632147155962,1.2819683387369765
28,LTA-K,20.09,159.67,377.65233,0.42239000000000715,5.294703134576826,0.005921927337278558,1.2819683387369765
29,LTA-K,20.09,191.6,234.17567,1.3790099999999939,3.283153724989935,0.019333783984896255,1.2819683387369765
30,LTA-K,20.09,229.92,131.31261,0.6815299999999951,1.8410088659494417,0.009555082123571482,1.2819683387369765
31,LTA-K,20.09,275.9,71.84355,0.4484500000000011,1.0072498940603039,0.006287289742660885,1.2819683387369765
32,LTA-K,30.0,77.0,1057.1004856368281,0.49351995381266534,14.820597703882825,0.0069191725797855645,1.2819683387369765
33,LTA-K,30.0,92.4,918.3474984689517,1.5567213174715562,12.875274405891645,0.021825304875728462,1.2819683387369765
34,LTA-K,30.0,110.88,763.58856,2.0702400000000125,10.705546930318171,0.029024860557133048,1.2819683387369765
35,LTA-K,30.0,133.06,598.56446,0.20441999999997051,8.391901415273368,0.002865977855267141,1.2819683387369765
36,LTA-K,30.0,159.67,433.70456,0.4041599999999903,6.080557991823493,0.0056663418940656836,1.2819683387369765
37,LTA-K,30.0,191.6,292.75306,0.061499999999995225,4.10441144223566,0.0008622328446284166,1.2819683387369765
38,LTA-K,30.0,229.92,176.11829999999998,1.341300000000004,2.4691867121972786,0.018805088040653468,1.2819683387369765
39,LTA-K,30.0,275.9,100.7595,1.7782199999999975,1.4126528505421738,0.024930726650004224,1.2819683387369765
40,LTA-K,54.6,77.0,1089.9839623107982,5.631226571566344,15.281625567848216,0.07895005700079921,1.2819683387369765
41,LTA-K,54.6,92.4,970.2431269188432,1.960201041714356,13.602853517145837,0.027482109272212778,1.2819683387369765
42,LTA-K,54.6,110.88,823.44130484375,2.438375156250004,11.544685181463688,0.03418613247552624,1.2819683387369765
43,LTA-K,54.6,133.06,669.56528,0.4237600000000157,9.387336195753937,0.005941134800646825,1.2819683387369765
44,LTA-K,54.6,159.67,516.24324,2.5631200000000263,7.237754103177641,0.035935060954864734,1.2819683387369765
45,LTA-K,54.6,191.6,375.62667999999996,1.7832400000000064,5.266303427882164,0.02500110728220004,1.2819683387369765
46,LTA-K,54.6,229.92,249.95436999999998,0.043989999999993756,3.504371828819845,0.0006167418347187253,1.2819683387369765
47,LTA-K,54.6,275.9,159.42192,0.5342400000000112,2.2351026923208868,0.007490069510802125,1.2819683387369765
48,LTA-K,148.4,77.0,1141.5187573883218,2.5063480253357966,16.00414577853178,0.03513911524413441,1.2819683387369765
49,LTA-K,148.4,92.4,1044.132474983487,1.281241529816839,14.63878559469904,0.01796306551073371,1.2819683387369765
50,LTA-K,148.4,110.88,925.2413160751521,1.2031471682283268,12.971926047598053,0.016868178949076666,1.2819683387369765
51,LTA-K,148.4,133.06,789.9194,0.9815600000000018,11.074706525028047,0.013761516601195704,1.2819683387369765
52,LTA-K,148.4,159.67,656.5779,0.7713800000000219,9.205252527434082,0.010814783279504692,1.2819683387369765
53,LTA-K,148.4,191.6,528.14414,2.8414599999999837,7.404605271643318,0.039837400629236366,1.2819683387369765
54,LTA-K,148.4,229.92,408.32664,1.401200000000017,5.724758379590093,0.019644888811275543,1.2819683387369765
